id,xcenter,ycenter,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_3,aperture_sum_4,aperture_sum_5,aperture_sum_6,aperture_sum_7
20,449.68607966989714 pix,674.4276911871657 pix,40723.837628177775,54947.309365937625,65217.22118036498,76798.93465531708,83500.81614201577,86649.27652984575,87199.39908185296,88960.27021936672
21,323.3496835027191 pix,799.983095107404 pix,49115.5929124183,55913.34469482005,60861.00445811274,61794.31237803551,62193.15918264941,62189.011755087384,62293.83363303274,63241.63407595184
22,1994.6697119695289 pix,806.1866168869885 pix,23972.115216177328,32661.065391109736,38921.29573269291,45467.16991107435,49353.147568590546,50726.306970664984,50045.691513909,52083.71537975193
23,1442.8832874144541 pix,824.9690061555626 pix,5407.238055600438,5349.447750036361,5295.42587247976,5285.45248851064,5650.387041593163,6086.763651119927,8947.48805977898,10234.879566286176
24,1267.1162914214062 pix,1004.4667140201618 pix,4790.092680202752,4767.664042711182,4874.399818952933,4828.490548746201,4703.275135077282,4584.081491944897,5223.608669797296,5758.530626789783
25,72.40829838467988 pix,1028.365207618158 pix,24849.91454944995,33481.23584200782,39537.90626840495,45653.73791263366,49653.74981596594,50982.778476955085,53078.33754988344,55155.20051986094
26,918.3509294148029 pix,1166.8488883845862 pix,15860.712004465691,21503.78050508077,25343.754200650223,29150.84878897883,31778.703590655823,33160.57207648844,33450.36152885812,33250.776163023416
27,950.0293164058568 pix,1285.1398000474064 pix,8205.325519887525,10993.562045085144,12905.199908776425,15049.93498398259,16681.913997449155,18414.352499147208,17956.10308490577,19998.35531795492
28,1874.9637884862595 pix,1319.8831278416544 pix,16129.629962848127,24047.223687709185,31234.314783057736,41928.14605109405,51370.242125229575,59503.60685975818,64106.149550162125,70152.98127414001
29,236.28387551759343 pix,1346.9931274826695 pix,16838.282551232453,22765.039153885155,26879.41524988028,31027.32904103452,33397.935750064185,35113.25792267898,35015.11248906532,36803.61125108206
30,1193.9370694997835 pix,1372.073832559038 pix,42081.211912883824,57498.90668346517,67996.00236227446,79409.25833962747,85825.15710233974,89676.30191856812,95903.75880834366,99451.2903530441
31,805.4472691458416 pix,1471.8023487296673 pix,134235.64340798324,182458.751482096,215950.7991638571,251514.87473744125,271702.15468241705,281976.7244135847,287265.08918792836,291365.93618286564
32,1006.1784135732953 pix,1496.9361934298524 pix,27599.033849119198,37859.9268781009,47116.83464974432,64234.495946186864,87342.02860462123,120227.60334406854,153075.28094534378,166143.75491581054
